timestamp,raw_value
2025-10-15T09:47:55.872092,99
2025-10-15T09:47:55.873742,82
2025-10-15T09:47:55.874769,-74
2025-10-15T09:47:55.875754,-85
2025-10-15T09:47:55.891027,-35
2025-10-15T09:47:55.891981,-49
2025-10-15T09:47:55.892944,69
2025-10-15T09:47:55.893854,84
2025-10-15T09:47:55.894529,-27
2025-10-15T09:47:55.895436,18
2025-10-15T09:47:55.896149,44
2025-10-15T09:47:55.896823,-72
2025-10-15T09:47:55.897492,-100
2025-10-15T09:47:55.898138,22
2025-10-15T09:47:55.898884,27
2025-10-15T09:47:55.899530,76
2025-10-15T09:47:55.900346,277
2025-10-15T09:47:55.901052,315
2025-10-15T09:47:55.901645,80
2025-10-15T09:47:55.902258,5
2025-10-15T09:47:55.902943,72
2025-10-15T09:47:55.903625,37
2025-10-15T09:47:55.904410,-26
2025-10-15T09:47:55.934051,10
2025-10-15T09:47:55.934320,-117
2025-10-15T09:47:55.934565,-89
2025-10-15T09:47:55.934806,12
2025-10-15T09:47:55.935061,-61
2025-10-15T09:47:55.935280,-65
2025-10-15T09:47:55.935531,130
2025-10-15T09:47:55.935760,261
2025-10-15T09:47:55.935976,211
2025-10-15T09:47:55.936145,166
2025-10-15T09:47:55.936363,83
2025-10-15T09:47:55.936565,-46
2025-10-15T09:47:55.936763,-37
2025-10-15T09:47:55.936958,103
2025-10-15T09:47:55.937163,83
2025-10-15T09:47:55.937381,-7
2025-10-15T09:47:55.937579,11
2025-10-15T09:47:55.937764,0
2025-10-15T09:47:55.963994,-33
2025-10-15T09:47:55.964336,72
2025-10-15T09:47:55.964562,-6
2025-10-15T09:47:55.964735,-12
2025-10-15T09:47:55.964877,112
2025-10-15T09:47:55.965084,92
2025-10-15T09:47:55.965284,-23
2025-10-15T09:47:55.965475,23
2025-10-15T09:47:55.965672,50
2025-10-15T09:47:55.965854,-66
2025-10-15T09:47:55.966062,-44
2025-10-15T09:47:55.966257,195
2025-10-15T09:47:55.966449,240
2025-10-15T09:47:55.966624,120
2025-10-15T09:47:55.966801,70
2025-10-15T09:47:55.967006,59
2025-10-15T09:47:55.967208,-35
2025-10-15T09:47:55.967389,26
2025-10-15T09:47:55.967590,101
2025-10-15T09:47:56.010309,-202
2025-10-15T09:47:56.011117,-179
2025-10-15T09:47:56.011723,-75
2025-10-15T09:47:56.012399,-103
2025-10-15T09:47:56.013085,-87
2025-10-15T09:47:56.013703,68
2025-10-15T09:47:56.014251,197
2025-10-15T09:47:56.014964,326
