session_id,timestamp,session_name,duration_minutes,music_involved,music_link,Delta,Theta,AlphaLow,AlphaHigh,BetaLow,BetaHigh,GammaLow,GammaHigh,Attention,Meditation
1e047abd,15:22:46,exercise,10,no,,631327,227164,86140,493082,119253,232262,160269,37669,29,47
1e047abd,15:22:47,exercise,10,no,,430801,7947,5343,2286,1129,1640,778,487,27,51
1e047abd,15:22:48,exercise,10,no,,411359,85641,37498,20327,35675,11302,8634,11830,30,60
1e047abd,15:22:49,exercise,10,no,,1041333,94338,13110,62528,33274,31783,15127,3815,43,69
1e047abd,15:22:50,exercise,10,no,,2028247,94841,6808,22761,5931,8251,6558,3228,43,69
1e047abd,15:22:51,exercise,10,no,,88805,40212,6926,4563,3181,4923,1431,327,43,69
1e047abd,15:22:52,exercise,10,no,,1357050,146827,71793,26544,10471,26547,10745,2669,43,69
1e047abd,15:22:53,exercise,10,no,,1952394,649487,213975,49036,79488,57049,61014,52253,43,64
1e047abd,15:22:54,exercise,10,no,,144711,102100,34273,9486,7860,7936,16861,6072,38,57
1e047abd,15:22:55,exercise,10,no,,744534,81895,17377,25584,14708,8615,17029,6770,37,57
1e047abd,15:22:56,exercise,10,no,,1854772,678462,169426,97660,97743,74626,10910,2680,27,54
1e047abd,15:22:57,exercise,10,no,,366755,53413,32770,14084,35739,44802,13722,2800,47,53
1e047abd,15:22:58,exercise,10,no,,772956,275076,41679,78274,73382,35185,25196,2597,51,53
1e047abd,15:22:59,exercise,10,no,,389672,28956,48632,34430,43874,59567,33700,13607,51,53
1e047abd,15:23:00,exercise,10,no,,1732841,47143,13029,46043,66858,53622,11562,3643,51,53
1e047abd,15:23:01,exercise,10,no,,1188919,213011,15175,14067,23862,21346,16857,2641,53,40
1e047abd,15:23:02,exercise,10,no,,56216,15492,8504,2422,16551,5016,3472,1279,61,37
1e047abd,15:23:03,exercise,10,no,,1301975,156374,99019,32742,26118,46314,39031,12509,53,43
1e047abd,15:23:04,exercise,10,no,,1294141,157866,23837,33745,22678,129969,18455,14246,70,38
1e047abd,15:23:05,exercise,10,no,,548362,34979,1876,12739,15136,11913,3351,1458,80,44
1e047abd,15:23:06,exercise,10,no,,14249,22260,4569,6433,7460,4921,1417,785,77,44
1e047abd,15:23:07,exercise,10,no,,144819,7292,2374,1158,2438,895,430,260,77,44
1e047abd,15:23:08,exercise,10,no,,196330,35006,1514,8610,4014,5070,6287,2358,74,35
1e047abd,15:23:09,exercise,10,no,,106542,56082,5624,7827,14550,32167,11658,9221,69,30
1e047abd,15:23:10,exercise,10,no,,302332,37963,18365,32490,11213,30437,18586,7922,75,41
1e047abd,15:23:11,exercise,10,no,,659582,181218,18491,24343,23476,47456,19161,10616,78,37
1e047abd,15:23:12,exercise,10,no,,153904,21638,2177,4757,8315,2110,1218,1346,77,35
1e047abd,15:23:13,exercise,10,no,,117661,19315,4192,5764,7115,8212,3790,2875,70,41
1e047abd,15:23:14,exercise,10,no,,59323,27624,5906,2684,6965,6861,3438,1045,66,30
1e047abd,15:23:15,exercise,10,no,,686262,362132,7854,21265,17540,18474,2814,963,53,23
1e047abd,15:23:16,exercise,10,no,,259077,81061,17067,17837,4244,7677,4638,1004,50,29
1e047abd,15:23:17,exercise,10,no,,177110,12172,2384,810,2394,755,1475,312,30,26
1e047abd,15:23:18,exercise,10,no,,93008,43161,9933,10894,10429,3698,7125,1883,20,34
